tool_id,tool_name,directory,event_type,version,old_version,change_type,commit_hash,commit_date,commit_message
bedtools_map,bedtools MapBed,bedtools,update,2.30.0.3,2.30.0.2,wrapper,db0b91a784ca0c216345bc488d7d488babf1b53f,2022-04-01T18:28:37+00:00,bedtools Intersect: include -g option (#4452)
bedtools_randombed,bedtools RandomBed,bedtools,update,2.30.0+galaxy1,2.30.0,wrapper,db0b91a784ca0c216345bc488d7d488babf1b53f,2022-04-01T18:28:37+00:00,bedtools Intersect: include -g option (#4452)
bedtools_shufflebed,bedtools ShuffleBed,bedtools,update,2.30.0+galaxy1,2.30.0,wrapper,db0b91a784ca0c216345bc488d7d488babf1b53f,2022-04-01T18:28:37+00:00,bedtools Intersect: include -g option (#4452)
bedtools_slopbed,bedtools SlopBed,bedtools,update,2.30.0+galaxy1,2.30.0,wrapper,db0b91a784ca0c216345bc488d7d488babf1b53f,2022-04-01T18:28:37+00:00,bedtools Intersect: include -g option (#4452)
bedtools_sortbed,bedtools SortBED,bedtools,update,2.30.0+galaxy1,2.30.0,wrapper,db0b91a784ca0c216345bc488d7d488babf1b53f,2022-04-01T18:28:37+00:00,bedtools Intersect: include -g option (#4452)
macs2_bdgbroadcall,MACS2 bdgbroadcall,macs2,update,2.2.7.1+galaxy0,2.1.1.20160309.0,wrapper,e8307adcc6ee9245fa2bb9ecb6de1cbe008dc2c3,2022-04-02T20:45:09+00:00,macs2: update v.2.2.7.1 (#4447)
macs2_bdgcmp,MACS2 bdgcmp,macs2,update,2.2.7.1+galaxy0,2.1.1.20160309.0,wrapper,e8307adcc6ee9245fa2bb9ecb6de1cbe008dc2c3,2022-04-02T20:45:09+00:00,macs2: update v.2.2.7.1 (#4447)
macs2_bdgdiff,MACS2 bdgdiff,macs2,update,2.2.7.1+galaxy0,2.1.1.20160309.1,wrapper,e8307adcc6ee9245fa2bb9ecb6de1cbe008dc2c3,2022-04-02T20:45:09+00:00,macs2: update v.2.2.7.1 (#4447)
macs2_bdgpeakcall,MACS2 bdgpeakcall,macs2,update,2.2.7.1+galaxy0,2.1.1.20160309.0,wrapper,e8307adcc6ee9245fa2bb9ecb6de1cbe008dc2c3,2022-04-02T20:45:09+00:00,macs2: update v.2.2.7.1 (#4447)
macs2_callpeak,MACS2 callpeak,macs2,update,2.2.7.1+galaxy0,2.1.1.20160309.6,wrapper,e8307adcc6ee9245fa2bb9ecb6de1cbe008dc2c3,2022-04-02T20:45:09+00:00,macs2: update v.2.2.7.1 (#4447)
macs2_filterdup,MACS2 filterdup,macs2,update,2.2.7.1+galaxy0,2.1.1.20160309.1,wrapper,e8307adcc6ee9245fa2bb9ecb6de1cbe008dc2c3,2022-04-02T20:45:09+00:00,macs2: update v.2.2.7.1 (#4447)
macs2_predictd,MACS2 predictd,macs2,update,2.2.7.1+galaxy0,2.1.1.20160309.1,wrapper,e8307adcc6ee9245fa2bb9ecb6de1cbe008dc2c3,2022-04-02T20:45:09+00:00,macs2: update v.2.2.7.1 (#4447)
macs2_randsample,MACS2 randsample,macs2,update,2.2.7.1+galaxy0,2.1.1.20160309.1,wrapper,e8307adcc6ee9245fa2bb9ecb6de1cbe008dc2c3,2022-04-02T20:45:09+00:00,macs2: update v.2.2.7.1 (#4447)
macs2_refinepeak,MACS2 refinepeak,macs2,update,2.2.7.1+galaxy0,2.1.1.20160309.1,wrapper,e8307adcc6ee9245fa2bb9ecb6de1cbe008dc2c3,2022-04-02T20:45:09+00:00,macs2: update v.2.2.7.1 (#4447)
icescreen,ICEscreen,icescreen,update,1.0.4+galaxy0,1.0.3+galaxy0,upstream,f826da6f47b642df169ab0747d6363326e944114,2022-04-02T20:45:24+00:00,Updating tools/icescreen from version 1.0.3 to 1.0.4 (#4472)
seqwish,seqwish,seqwish,update,0.7.4,0.7.3,upstream,6e869b3e13ed7b012b270f14fce812613642e5f2,2022-04-04T08:24:01+00:00,Updating tools/seqwish from version 0.7.3 to 0.7.4 (#4479)
repeatmodeler,RepeatModeler,repeatmodeler,update,2.0.3+galaxy0,2.0.2a+galaxy0,upstream,dd9aec06341462d2b1e8e299909351cdbd385238,2022-04-05T11:49:09+00:00,Updating tools/repeatmodeler from version 2.0.2a to 2.0.3 (#4478)
busco,Busco,busco,update,5.3.1+galaxy0,5.2.2+galaxy2,upstream,f72125ad8b8d8ba7a63da931bf407ffb658b88dc,2022-04-05T12:13:07+00:00,Updating tools/busco from version 5.2.2 to5.3.1 (#4426)
ampvis2_export_fasta,ampvis2 export fasta,ampvis2,new,2.7.22+galaxy0,,initial,40ca64669b0f8c875835fcf41ce91e6adb391283,2022-04-07T13:11:34+00:00,ampvis2 bump to 2.7.22 (#4484)
pathview,Pathview,pathview,update,1.24.0+galaxy2,1.24.0+galaxy1,wrapper,f21f5effc122e992ed977bc42b27f9520f59a33b,2022-04-08T15:15:29+00:00,pathview: fix version token (#4489)
meme_dreme,DREME,meme,update,5.4.1+galaxy0,5.0.5.0,wrapper,03235f29be6368f58bc730a20d87a13cf215310f,2022-04-09T08:10:18+00:00,MEME: update version 4.5.1 (#4395)
meme_fimo,FIMO,meme,update,5.4.1+galaxy0,5.0.5.0,wrapper,03235f29be6368f58bc730a20d87a13cf215310f,2022-04-09T08:10:18+00:00,MEME: update version 4.5.1 (#4395)
meme_meme,MEME,meme,update,5.4.1+galaxy0,5.0.5.0,wrapper,03235f29be6368f58bc730a20d87a13cf215310f,2022-04-09T08:10:18+00:00,MEME: update version 4.5.1 (#4395)
meme_psp_gen,MEME psp-gen,meme,update,5.4.1+galaxy0,5.0.5.0,wrapper,03235f29be6368f58bc730a20d87a13cf215310f,2022-04-09T08:10:18+00:00,MEME: update version 4.5.1 (#4395)
vsnp_get_snps,vSNP: get SNPs,vsnp,update,1.0+galaxy3,1.0+galaxy2,wrapper,9e9e1db5b9ca53d690ed795aab1e7437f0a1c864,2022-04-09T08:12:40+00:00,Eliminate auto selection of Excel filter so tool will work with Pulsar (#4488)
datamash_ops,Datamash,datamash,update,1.1.0+galaxy1,1.1.0,wrapper,206ac70388ea11b168366f1e30bb44157e371c6e,2022-04-10T11:25:15+00:00,datamash: improve grouping column regex and add csv support (#4480)
datamash_reverse,Reverse,datamash,update,1.1.0+galaxy1,1.1.0,wrapper,206ac70388ea11b168366f1e30bb44157e371c6e,2022-04-10T11:25:15+00:00,datamash: improve grouping column regex and add csv support (#4480)
datamash_transpose,Transpose,datamash,update,1.1.0+galaxy1,1.1.0,wrapper,206ac70388ea11b168366f1e30bb44157e371c6e,2022-04-10T11:25:15+00:00,datamash: improve grouping column regex and add csv support (#4480)
busco,Busco,busco,update,5.3.2+galaxy0,5.3.1+galaxy0,upstream,154d9b1916116b2880f34836d24a76129509086f,2022-04-11T08:28:22+00:00,Updating tools/busco from version 5.3.1 to 5.3.2 (#4491)
pyega3,EGA Download Client,pyega3,new,4.0.0+galaxy0,,initial,f91c99780efc91e89950ed9494ef9e6f83d198c7,2022-04-12T11:14:44+00:00,EGA Download Client updates (#4486)
ggplot2_heatmap2,heatmap2,heatmap2,new,3.1.1,,initial,b04b237daba99e6992b27d1b65524744feb07d7d,2022-04-12T15:33:43+00:00,update heatmap2 tool (#4497)
ggplot2_heatmap2,heatmap2,heatmap2,update,3.1.1+galaxy1,3.1.1,wrapper,4f9970932fa3521656d5618582ba5df4173ca66c,2022-04-13T09:18:59+00:00,fix bug (#4501)
stacks2_clonefilter,Stacks2: clone filter,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
stacks2_cstacks,Stacks2: cstacks,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
stacks2_denovomap,Stacks2: de novo map,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
stacks2_gstacks,Stacks2: gstacks,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
stacks2_kmerfilter,Stacks2: kmer filter,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
stacks2_populations,Stacks2: populations,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
stacks2_procrad,Stacks2: process radtags,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
stacks2_refmap,Stacks2: reference map,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
stacks2_shortreads,Stacks2: process shortreads,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
stacks2_sstacks,Stacks2: sstacks,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
stacks2_tsv2bam,Stacks2: tsv2bam,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
stacks2_ustacks,Stacks2: ustacks,stacks2,update,2.55+galaxy2,2.55+galaxy1,wrapper,16654f3b3faaba994cea5fda8d4907ea4f059605,2022-04-14T08:28:39+00:00,Update Stacks2 (#4316)
biom_add_metadata,Add metadata,biom_format,update,2.1.12+galaxy0,2.1.10+galaxy0,upstream,1a34951441a1cb223433f2e18fa51efc16a8f3db,2022-04-18T12:29:37+00:00,Updating tools/biom_format from version 2.1.10 to 2.1.12 (#4508)
